date_time,gps_latitude,gps_longitude,gps_speed,gps_altitude,gps_angle,compass_heading,depth_distance,winch_position,Temperature,Conductivity,pH,depth,Turbidity,Chlorophyll,DO,Phycocyanin,
08/26/21 09:02:13,45.1565567,29.6590350,0.12,7.10,134.68,34.00,1694.00,0.00,24.34,284.20,3.86,10.32,0.99,2.91,40.03,-0.23,
08/26/21 09:02:14,45.1565500,29.6590317,0.17,7.60,197.81,35.00,1951.00,0.00,24.34,284.20,3.86,10.32,0.99,2.96,40.04,-0.24,
08/26/21 09:02:15,45.1565450,29.6590333,0.04,8.20,130.87,35.00,2097.00,0.00,24.34,284.21,3.86,10.32,0.99,2.97,40.04,-0.25,
08/26/21 09:02:16,45.1565383,29.6590367,0.09,8.60,156.56,34.00,2316.00,0.00,24.34,284.21,3.86,10.32,0.99,2.98,40.04,-0.25,
08/26/21 09:02:17,45.1565350,29.6590367,0.08,8.80,140.83,34.00,30749.00,0.00,24.34,284.22,3.86,10.32,0.98,3.00,40.04,-0.25,
08/26/21 09:02:18,45.1565267,29.6590350,0.18,8.90,185.67,35.00,31174.00,0.00,24.34,284.22,3.86,10.32,0.98,3.00,40.04,-0.25,
08/26/21 09:02:19,45.1565233,29.6590350,0.21,9.10,164.58,35.00,30683.00,0.00,24.34,284.23,3.86,10.32,0.97,3.02,40.04,-0.26,
08/26/21 09:02:20,45.1565233,29.6590333,0.10,9.30,194.44,34.00,30259.00,0.00,24.34,284.23,3.86,10.32,0.97,3.04,40.04,-0.27,
08/26/21 09:02:21,45.1565167,29.6590317,0.20,9.20,185.97,34.00,35266.00,0.00,24.34,284.23,3.86,10.32,0.97,3.08,40.04,-0.26,
08/26/21 09:02:22,45.1565133,29.6590317,0.16,9.30,175.74,34.00,33966.00,0.00,24.34,284.24,3.86,10.32,0.97,3.06,40.04,-0.26,
08/26/21 09:02:23,45.1565100,29.6590333,0.19,9.30,113.63,34.00,35882.00,0.00,24.34,284.24,3.86,10.32,0.98,3.08,40.05,-0.26,
08/26/21 09:02:24,45.1565067,29.6590317,0.15,9.30,138.08,34.00,37572.00,0.00,24.34,284.24,3.86,10.32,0.98,3.08,40.05,-0.26,
08/26/21 09:02:25,45.1565050,29.6590317,0.16,9.40,143.08,34.00,36311.00,0.00,24.33,284.24,3.86,10.32,0.98,3.09,40.05,-0.26,
08/26/21 09:02:26,45.1565033,29.6590333,0.15,9.40,130.96,34.00,33678.00,0.00,24.34,284.24,3.86,10.32,0.98,3.04,40.05,-0.26,
08/26/21 09:02:27,45.1565033,29.6590333,0.06,9.40,179.62,34.00,36653.00,0.00,24.33,284.25,3.86,10.32,0.98,3.05,40.05,-0.26,
08/26/21 09:02:28,45.1565017,29.6590333,0.07,9.40,242.24,34.00,35647.00,0.00,24.33,284.25,3.86,10.32,0.98,3.02,40.05,-0.27,
08/26/21 09:02:29,45.1565017,29.6590333,0.12,9.40,253.91,34.00,36689.00,0.00,24.33,284.25,3.86,10.32,0.98,2.97,40.05,-0.27,
08/26/21 09:02:30,45.1565017,29.6590317,0.21,9.40,272.34,34.00,34329.00,0.00,24.33,284.25,3.86,10.32,0.99,2.92,40.05,-0.27,
08/26/21 09:02:31,45.1565017,29.6590300,0.18,9.40,286.90,34.00,34329.00,0.00,24.33,284.25,3.86,10.32,0.99,2.92,40.05,-0.27,
08/26/21 09:02:32,45.1565017,29.6590300,0.21,9.40,300.95,34.00,36269.00,0.00,24.33,284.24,3.86,10.32,0.99,2.84,40.05,-0.27,
08/26/21 09:02:33,45.1565033,29.6590283,0.12,9.40,340.98,34.00,38834.00,0.00,24.33,284.25,3.86,10.32,1.00,2.82,40.05,-0.27,
08/26/21 09:02:34,45.1565033,29.6590283,0.19,9.40,358.67,34.00,39229.00,0.00,24.33,284.25,3.86,10.32,1.01,2.76,40.05,-0.27,
08/26/21 09:02:35,45.1565050,29.6590283,0.30,9.40,351.11,34.00,1661.00,0.00,24.33,284.24,3.86,10.32,1.01,2.68,40.05,-0.26,
08/26/21 09:02:36,45.1565067,29.6590283,0.18,9.40,357.33,34.00,1771.00,0.00,24.33,284.24,3.86,10.32,1.04,2.63,40.06,-0.27,
08/26/21 09:02:37,45.1565067,29.6590283,0.13,9.40,341.33,34.00,1885.00,0.00,24.33,284.24,3.86,10.32,1.04,2.63,40.06,-0.27,
08/26/21 09:02:38,45.1565067,29.6590283,0.06,9.40,286.59,34.00,2097.00,0.00,24.33,284.24,3.86,10.32,1.04,2.63,40.06,-0.27,
08/26/21 09:02:39,45.1565067,29.6590267,0.05,9.40,282.52,34.00,2366.00,0.00,24.33,284.25,3.86,10.32,1.05,2.49,40.06,-0.28,
08/26/21 09:02:41,45.1565067,29.6590267,0.12,9.40,274.31,34.00,2538.00,0.00,24.33,284.23,3.86,10.32,1.05,2.36,40.06,-0.29,
08/26/21 09:02:42,45.1565067,29.6590267,0.07,9.40,274.63,34.00,2698.00,0.00,24.33,284.24,3.86,10.32,1.07,2.27,40.06,-0.29,
08/26/21 09:02:43,45.1565083,29.6590250,0.07,9.40,11.77,34.00,2807.00,0.00,24.33,284.22,3.86,10.32,1.07,2.08,40.06,-0.29,
08/26/21 09:02:44,45.1565083,29.6590250,0.12,9.40,57.32,35.00,2853.00,0.00,24.33,284.22,3.86,10.32,1.07,1.99,40.06,-0.28,
08/26/21 09:02:45,45.1565083,29.6590267,0.13,9.30,290.58,35.00,3166.00,0.00,24.33,284.22,3.86,10.32,1.07,1.99,40.06,-0.28,
08/26/21 09:02:46,45.1565083,29.6590233,0.25,9.30,293.38,34.00,2028.00,0.00,24.33,284.22,3.86,10.32,1.07,1.99,40.06,-0.28,
08/26/21 09:02:47,45.1565083,29.6590233,0.28,9.30,282.58,34.00,11782.00,0.00,24.33,284.22,3.86,10.32,1.08,1.82,40.07,-0.28,
08/26/21 09:02:48,45.1565100,29.6590217,0.33,9.30,303.79,35.00,11829.00,0.00,24.33,284.23,3.86,10.32,1.08,1.71,40.07,-0.28,
08/26/21 09:02:49,45.1565117,29.6590183,0.48,9.30,309.65,35.00,12259.00,0.00,24.33,284.24,3.86,10.32,1.08,1.54,40.07,-0.28,
08/26/21 09:02:50,45.1565133,29.6590150,0.47,9.30,301.43,34.00,14293.00,0.00,24.33,284.24,3.86,10.32,1.07,1.45,40.07,-0.28,
08/26/21 09:02:51,45.1565133,29.6590133,0.46,9.30,303.94,34.00,11368.00,0.00,24.33,284.24,3.86,10.32,1.07,1.45,40.07,-0.28,
08/26/21 09:02:52,45.1565150,29.6590117,0.38,9.30,331.26,34.00,14503.00,0.00,24.33,284.25,3.86,10.32,1.06,1.43,40.07,-0.28,
08/26/21 09:02:53,45.1565167,29.6590100,0.34,9.30,334.64,34.00,13841.00,0.00,24.33,284.25,3.86,10.32,1.05,1.38,40.07,-0.28,
08/26/21 09:02:54,45.1565183,29.6590100,0.39,9.30,346.17,35.00,17131.00,0.00,24.33,284.26,3.86,10.32,1.05,1.35,40.07,-0.28,
08/26/21 09:02:55,45.1565200,29.6590083,0.32,9.30,3.49,33.00,1665.00,0.00,24.33,284.27,3.86,10.32,1.04,1.29,40.07,-0.28,
08/26/21 09:02:56,45.1565217,29.6590083,0.26,9.30,357.85,33.00,1764.00,0.00,24.33,284.29,3.86,10.32,1.04,1.26,40.07,-0.28,
08/26/21 09:02:57,45.1565217,29.6590083,0.30,9.30,342.48,33.00,1868.00,0.00,24.33,284.30,3.86,10.32,1.04,1.25,40.07,-0.28,
08/26/21 09:02:58,45.1565233,29.6590083,0.47,9.30,327.00,33.00,1868.00,0.00,24.33,284.30,3.86,10.32,1.04,1.25,40.07,-0.28,
08/26/21 09:02:59,45.1565250,29.6590067,0.21,9.30,329.91,33.00,1953.00,0.00,24.33,284.30,3.86,10.32,1.04,1.22,40.07,-0.28,
08/26/21 09:03:00,45.1565267,29.6590050,0.12,9.30,275.65,33.00,2170.00,0.00,24.33,284.30,3.86,10.32,1.05,1.19,40.07,-0.27,
08/26/21 09:03:01,45.1565267,29.6590050,0.04,9.30,243.70,33.00,2070.00,0.00,24.33,284.30,3.86,10.32,1.05,1.19,40.07,-0.28,
08/26/21 09:03:02,45.1565250,29.6590050,0.06,9.30,169.00,33.00,2619.00,0.00,24.33,284.30,3.86,10.32,1.05,1.17,40.07,-0.28,
08/26/21 09:03:03,45.1565250,29.6590050,0.08,9.30,35.06,33.00,2859.00,0.00,24.33,284.31,3.86,10.32,1.04,1.14,40.07,-0.28,
08/26/21 09:03:04,45.1565250,29.6590050,0.15,9.30,349.25,33.00,3184.00,0.00,24.33,284.31,3.86,10.32,1.04,1.14,40.07,-0.28,
08/26/21 09:03:05,45.1565267,29.6590050,0.07,9.30,330.95,33.00,3658.00,0.00,24.33,284.30,3.86,10.32,1.05,1.12,40.07,-0.28,
08/26/21 09:03:06,45.1565267,29.6590033,0.17,9.30,312.69,33.00,3963.00,0.00,24.33,284.31,3.86,10.32,1.05,1.12,40.07,-0.29,
08/26/21 09:03:07,45.1565267,29.6590033,0.11,9.30,14.92,34.00,4463.00,0.00,24.33,284.30,3.86,10.32,1.02,1.11,40.08,-0.29,
08/26/21 09:03:08,45.1565267,29.6590033,0.14,9.30,94.57,33.00,5009.00,0.00,24.33,284.31,3.86,10.32,1.03,1.16,40.08,-0.29,
08/26/21 09:03:09,45.1565267,29.6590050,0.23,9.30,66.59,33.00,5585.00,0.00,24.33,284.30,3.86,10.32,1.04,1.18,40.08,-0.29,
08/26/21 09:03:10,45.1565267,29.6590067,0.21,9.30,119.00,33.00,5783.00,0.00,24.33,284.30,3.86,10.32,1.03,1.21,40.08,-0.29,
08/26/21 09:03:11,45.1565267,29.6590083,0.24,9.30,143.53,33.00,6820.00,0.00,24.33,284.30,3.86,10.32,1.04,1.18,40.08,-0.28,
08/26/21 09:03:12,45.1565250,29.6590083,0.24,9.30,130.01,33.00,1677.00,0.00,24.33,284.29,3.86,10.32,1.04,1.21,40.08,-0.28,
08/26/21 09:03:13,45.1565250,29.6590100,0.29,9.30,137.22,30.00,1747.00,0.00,24.33,284.29,3.86,10.32,1.04,1.21,40.08,-0.28,
08/26/21 09:03:14,45.1565233,29.6590117,0.23,9.30,127.84,23.00,1993.00,0.00,24.33,284.29,3.86,10.32,1.04,1.21,40.08,-0.28,
08/26/21 09:03:15,45.1565233,29.6590117,0.22,9.30,130.21,25.00,2270.00,0.00,24.33,284.28,3.86,10.32,1.03,1.24,40.08,-0.27,
08/26/21 09:03:16,45.1565217,29.6590133,0.12,9.30,132.68,23.00,2531.00,0.00,24.33,284.27,3.86,10.32,1.02,1.29,40.08,-0.26,
08/26/21 09:03:17,45.1565217,29.6590133,0.10,9.30,93.45,23.00,2896.00,0.00,24.33,284.27,3.86,10.32,1.01,1.35,40.08,-0.26,
08/26/21 09:03:18,45.1565217,29.6590150,0.19,9.30,64.57,23.00,2991.00,0.00,24.33,284.26,3.86,10.32,1.00,1.50,40.09,-0.25,
08/26/21 09:03:19,45.1565233,29.6590150,0.18,9.30,56.00,23.00,3544.00,0.00,24.33,284.27,3.86,10.32,1.00,1.59,40.09,-0.24,
08/26/21 09:03:20,45.1565233,29.6590167,0.08,9.30,65.02,23.00,3684.00,0.00,24.33,284.28,3.86,10.32,1.01,1.69,40.09,-0.24,
08/26/21 09:03:21,45.1565233,29.6590167,0.07,9.30,238.52,23.00,3684.00,0.00,24.33,284.27,3.85,10.32,1.02,1.82,40.09,-0.24,
08/26/21 09:03:22,45.1565233,29.6590167,0.14,9.30,277.94,23.00,4692.00,0.00,24.33,284.28,3.85,10.32,1.01,2.00,40.09,-0.23,
08/26/21 09:03:23,45.1565233,29.6590150,0.15,9.30,291.76,23.00,4847.00,0.00,24.33,284.28,3.85,10.32,1.02,2.18,40.09,-0.23,
08/26/21 09:03:24,45.1565233,29.6590150,0.10,9.30,7.03,23.00,5483.00,0.00,24.33,284.28,3.85,10.32,1.01,2.38,40.09,-0.22,
08/26/21 09:03:25,45.1565233,29.6590150,0.11,9.30,343.62,23.00,5897.00,0.00,24.33,284.29,3.85,10.32,1.02,2.60,40.10,-0.21,
08/26/21 09:03:26,45.1565250,29.6590150,0.12,9.30,351.71,23.00,1628.00,0.00,24.33,284.28,3.85,10.32,1.02,2.75,40.10,-0.21,
08/26/21 09:03:27,45.1565250,29.6590150,0.18,9.30,46.42,23.00,1710.00,0.00,24.33,284.29,3.85,10.32,1.02,2.86,40.10,-0.20,
08/26/21 09:03:28,45.1565250,29.6590150,0.12,9.30,4.46,23.00,1888.00,0.00,24.33,284.30,3.85,10.32,1.00,2.95,40.10,-0.20,
08/26/21 09:03:29,45.1565267,29.6590150,0.18,9.30,346.92,23.00,2047.00,0.00,24.33,284.30,3.85,10.32,1.00,2.95,40.10,-0.20,
08/26/21 09:03:30,45.1565267,29.6590150,0.18,9.30,340.76,23.00,2323.00,0.00,24.33,284.30,3.85,10.32,1.01,3.00,40.10,-0.20,
08/26/21 09:03:31,45.1565283,29.6590150,0.12,9.30,0.72,23.00,2645.00,0.00,24.33,284.30,3.85,10.32,1.01,3.06,40.11,-0.20,
08/26/21 09:03:32,45.1565283,29.6590150,0.11,9.30,87.51,23.00,2822.00,0.00,24.33,284.30,3.85,10.32,1.01,3.09,40.11,-0.20,
08/26/21 09:03:33,45.1565283,29.6590150,0.08,9.30,56.59,23.00,3042.00,0.00,24.33,284.29,3.85,10.32,1.01,3.04,40.11,-0.21,
08/26/21 09:03:34,45.1565283,29.6590150,0.10,9.30,198.20,23.00,3371.00,0.00,24.33,284.30,3.85,10.32,1.00,2.89,40.11,-0.22,
08/26/21 09:03:35,45.1565267,29.6590167,0.17,9.30,151.48,23.00,3612.00,0.00,24.33,284.29,3.85,10.32,1.00,2.76,40.11,-0.22,
08/26/21 09:03:36,45.1565233,29.6590217,0.24,9.10,129.27,23.00,4121.00,0.00,24.33,284.30,3.85,10.32,0.99,2.59,40.12,-0.23,
08/26/21 09:03:37,45.1565167,29.6590217,0.27,9.00,167.47,23.00,4853.00,0.00,24.33,284.30,3.85,10.32,0.99,2.41,40.12,-0.23,
08/26/21 09:03:38,45.1565167,29.6590233,0.13,8.90,137.31,23.00,5359.00,0.00,24.33,284.31,3.85,10.32,0.98,2.26,40.12,-0.24,
08/26/21 09:03:39,45.1565133,29.6590233,0.10,8.90,134.04,23.00,5929.00,0.00,24.33,284.32,3.85,10.32,0.99,2.04,40.12,-0.24,
08/26/21 09:03:40,45.1565100,29.6590267,0.17,8.90,106.58,23.00,6786.00,0.00,24.33,284.32,3.85,10.32,0.98,1.88,40.13,-0.25,
08/26/21 09:03:41,45.1565017,29.6590233,0.13,8.80,143.67,23.00,7798.00,0.00,24.33,284.32,3.85,10.32,0.97,1.70,40.13,-0.25,
08/26/21 09:03:42,45.1565000,29.6590233,0.12,8.80,148.03,23.00,8280.00,0.00,24.33,284.32,3.85,10.32,0.97,1.70,40.13,-0.25,
08/26/21 09:03:43,45.1564950,29.6590217,0.11,8.70,139.51,23.00,9303.00,0.00,24.33,284.33,3.85,10.32,0.98,1.56,40.13,-0.26,
08/26/21 09:03:44,45.1564917,29.6590233,0.16,8.80,169.07,23.00,10685.00,0.00,24.33,284.33,3.85,10.32,0.98,1.27,40.14,-0.27,
08/26/21 09:03:45,45.1564917,29.6590217,0.16,8.80,190.83,23.00,11803.00,0.00,24.33,284.33,3.85,10.32,0.99,1.17,40.14,-0.27,
08/26/21 09:03:46,45.1564917,29.6590217,0.08,8.70,176.37,23.00,11803.00,0.00,24.33,284.33,3.85,10.32,1.00,1.12,40.14,-0.28,
08/26/21 09:03:47,45.1564900,29.6590250,0.10,8.70,117.79,23.00,12849.00,0.00,24.33,284.34,3.85,10.32,1.01,1.06,40.15,-0.28,
08/26/21 09:03:48,45.1564900,29.6590250,0.14,8.60,108.10,23.00,1614.00,0.00,24.33,284.35,3.85,10.32,1.02,1.02,40.15,-0.29,
08/26/21 09:03:49,45.1564900,29.6590267,0.28,8.60,129.16,23.00,1665.00,0.00,24.33,284.35,3.85,10.32,1.02,1.01,40.15,-0.29,
08/26/21 09:03:50,45.1564900,29.6590283,0.32,8.60,124.11,23.00,1796.00,0.00,24.33,284.35,3.85,10.32,1.01,0.99,40.16,-0.28,
08/26/21 09:03:51,45.1564883,29.6590300,0.38,8.60,132.21,23.00,1911.00,0.00,24.33,284.35,3.85,10.32,1.01,1.00,40.16,-0.28,
08/26/21 09:03:52,45.1564867,29.6590333,0.46,8.60,122.91,23.00,1954.00,0.00,24.33,284.35,3.85,10.32,1.00,0.97,40.16,-0.28,
08/26/21 09:03:53,45.1564850,29.6590350,0.46,8.60,134.70,23.00,1963.00,0.00,24.33,284.36,3.85,10.32,1.01,0.96,40.16,-0.29,
08/26/21 09:03:54,45.1564850,29.6590367,0.48,8.60,135.58,23.00,1985.00,0.00,24.33,284.37,3.85,10.32,1.00,0.95,40.17,-0.29,
08/26/21 09:03:55,45.1564833,29.6590400,0.30,8.60,121.99,23.00,1948.00,0.00,24.33,284.37,3.85,10.32,1.01,0.95,40.17,-0.29,
08/26/21 09:03:56,45.1564817,29.6590417,0.35,8.60,141.53,23.00,1959.00,0.00,24.33,284.38,3.85,10.32,1.01,0.95,40.17,-0.29,
08/26/21 09:03:57,45.1564800,29.6590433,0.31,8.60,131.63,23.00,1977.00,0.00,24.33,284.38,3.85,10.32,1.01,0.95,40.17,-0.29,
08/26/21 09:03:58,45.1564800,29.6590433,0.27,8.60,150.22,23.00,2087.00,0.00,24.33,284.38,3.85,10.32,1.01,0.93,40.18,-0.29,
08/26/21 09:03:59,45.1564783,29.6590450,0.18,8.60,130.36,23.00,2035.00,0.00,24.33,284.36,3.85,10.32,1.01,0.95,40.18,-0.29,
08/26/21 09:04:00,45.1564783,29.6590450,0.14,8.70,227.48,23.00,2455.00,0.00,24.33,284.36,3.85,10.32,1.01,0.94,40.19,-0.28,
08/26/21 09:04:01,45.1564783,29.6590433,0.11,8.70,277.81,23.00,2019.00,0.00,24.33,284.35,3.85,10.32,1.00,0.95,40.19,-0.29,
08/26/21 09:04:02,45.1564783,29.6590433,0.08,8.70,256.59,23.00,2011.00,0.00,24.33,284.35,3.85,10.32,1.00,0.95,40.19,-0.29,
08/26/21 09:04:03,45.1564783,29.6590417,0.19,8.70,314.94,23.00,2834.00,0.00,24.33,284.35,3.85,10.32,1.00,1.02,40.20,-0.29,
08/26/21 09:04:04,45.1564800,29.6590417,0.16,8.70,301.79,23.00,2967.00,0.00,24.33,284.35,3.85,10.32,1.00,1.07,40.20,-0.30,
08/26/21 09:04:05,45.1564800,29.6590400,0.18,8.70,307.08,23.00,3249.00,0.00,24.33,284.35,3.85,10.32,1.01,1.11,40.20,-0.30,
08/26/21 09:04:06,45.1564800,29.6590383,0.18,8.70,336.21,23.00,3553.00,0.00,24.33,284.34,3.85,10.32,1.00,1.12,40.21,-0.30,
08/26/21 09:04:07,45.1564817,29.6590383,0.16,8.70,327.30,23.00,4068.00,0.00,24.33,284.35,3.85,10.32,1.01,1.14,40.21,-0.30,
08/26/21 09:04:08,45.1564817,29.6590367,0.21,8.70,307.57,23.00,4652.00,0.00,24.33,284.34,3.85,10.32,1.00,1.17,40.22,-0.31,
08/26/21 09:04:09,45.1564833,29.6590350,0.25,8.70,307.66,23.00,4652.00,0.00,24.33,284.34,3.85,10.32,1.00,1.19,40.22,-0.31,
08/26/21 09:04:10,45.1564833,29.6590333,0.23,8.70,291.56,23.00,5043.00,0.00,24.33,284.35,3.85,10.32,1.01,1.24,40.22,-0.31,
08/26/21 09:04:11,45.1564833,29.6590317,0.27,8.70,293.03,25.00,5526.00,0.00,24.33,284.36,3.85,10.32,1.01,1.30,40.23,-0.31,
08/26/21 09:04:12,45.1564850,29.6590300,0.32,8.70,304.52,23.00,31042.00,0.00,24.33,284.37,3.85,10.32,1.02,1.32,40.23,-0.31,
08/26/21 09:04:13,45.1564850,29.6590283,0.19,8.70,277.58,23.00,31042.00,0.00,24.33,284.38,3.85,10.32,1.02,1.37,40.24,-0.30,
08/26/21 09:04:14,45.1564850,29.6590283,0.11,8.70,295.40,23.00,33521.00,0.00,24.33,284.38,3.85,10.32,1.02,1.41,40.24,-0.30,
08/26/21 09:04:15,45.1564850,29.6590267,0.22,8.70,341.95,23.00,34465.00,0.00,24.33,284.38,3.85,10.32,1.02,1.41,40.24,-0.30,
08/26/21 09:04:16,45.1564867,29.6590267,0.24,8.70,310.08,23.00,36791.00,0.00,24.33,284.39,3.85,10.32,1.02,1.50,40.24,-0.30,
08/26/21 09:04:17,45.1564867,29.6590250,0.33,8.70,299.47,23.00,1679.00,0.00,24.33,284.38,3.85,10.32,1.02,1.61,40.25,-0.30,
08/26/21 09:04:19,45.1564883,29.6590233,0.34,8.70,329.87,23.00,1742.00,0.00,24.33,284.38,3.85,10.32,1.03,1.73,40.25,-0.30,
08/26/21 09:04:20,45.1564900,29.6590217,0.27,8.70,341.76,23.00,1806.00,0.00,24.33,284.39,3.85,10.32,1.03,1.79,40.26,-0.30,
08/26/21 09:04:21,45.1564900,29.6590217,0.25,8.70,337.24,23.00,1771.00,0.00,24.33,284.39,3.85,10.32,1.04,1.81,40.26,-0.30,
08/26/21 09:04:22,45.1564917,29.6590200,0.22,8.70,294.49,23.00,1876.00,0.00,24.33,284.39,3.85,10.32,1.05,1.87,40.26,-0.30,
08/26/21 09:04:23,45.1564917,29.6590200,0.16,8.70,287.42,23.00,1925.00,0.00,24.33,284.40,3.85,10.32,1.06,1.86,40.27,-0.30,
08/26/21 09:04:24,45.1564933,29.6590183,0.13,8.70,304.80,23.00,1942.00,0.00,24.33,284.40,3.85,10.32,1.07,1.90,40.27,-0.30,
08/26/21 09:04:25,45.1564933,29.6590167,0.08,8.70,263.76,23.00,1949.00,0.00,24.33,284.39,3.85,10.32,1.07,1.94,40.27,-0.30,
08/26/21 09:04:26,45.1564933,29.6590167,0.08,8.70,298.88,23.00,2002.00,0.00,24.33,284.38,3.85,10.32,1.06,1.96,40.28,-0.31,
08/26/21 09:04:27,45.1564933,29.6590167,0.14,8.70,306.20,23.00,2306.00,0.00,24.33,284.39,3.85,10.32,1.06,1.92,40.28,-0.31,
08/26/21 09:04:28,45.1564933,29.6590167,0.24,8.70,315.67,23.00,2582.00,0.00,24.33,284.40,3.85,10.32,1.09,1.94,40.29,-0.31,
08/26/21 09:04:29,45.1564950,29.6590133,0.29,8.70,315.87,23.00,2901.00,0.00,24.33,284.40,3.85,10.32,1.11,1.94,40.29,-0.31,
08/26/21 09:04:30,45.1564950,29.6590133,0.30,8.70,345.35,25.00,3325.00,0.00,24.33,284.39,3.85,10.32,1.14,1.97,40.29,-0.31,
08/26/21 09:04:31,45.1564967,29.6590117,0.30,8.70,323.64,23.00,3805.00,0.00,24.33,284.39,3.85,10.32,1.16,1.99,40.30,-0.31,
08/26/21 09:04:32,45.1564983,29.6590100,0.16,8.70,297.26,23.00,4102.00,0.00,24.33,284.39,3.85,10.32,1.16,1.99,40.30,-0.31,
08/26/21 09:04:33,45.1564983,29.6590100,0.23,8.70,254.96,23.00,4511.00,0.00,24.33,284.39,3.85,10.32,1.17,2.03,40.30,-0.30,
08/26/21 09:04:34,45.1564983,29.6590083,0.21,8.70,241.00,23.00,4511.00,0.00,24.33,284.39,3.85,10.32,1.17,2.10,40.31,-0.30,
08/26/21 09:04:35,45.1564983,29.6590067,0.13,8.70,283.65,23.00,5033.00,0.00,24.33,284.40,3.85,10.32,1.16,2.15,40.31,-0.30,
08/26/21 09:04:36,45.1564983,29.6590067,0.18,8.70,334.68,23.00,5514.00,0.00,24.33,284.40,3.85,10.32,1.16,2.20,40.31,-0.29,
08/26/21 09:04:37,45.1564983,29.6590050,0.17,8.70,317.36,23.00,6223.00,0.00,24.33,284.39,3.85,10.32,1.16,2.27,40.32,-0.29,
08/26/21 09:04:38,45.1565000,29.6590050,0.19,8.70,334.31,23.00,7281.00,0.00,24.33,284.40,3.85,10.32,1.14,2.36,40.32,-0.29,
08/26/21 09:04:39,45.1565000,29.6590033,0.21,8.70,332.83,23.00,7975.00,0.00,24.33,284.41,3.85,10.32,1.15,2.39,40.32,-0.28,
08/26/21 09:04:40,45.1565000,29.6590033,0.23,8.70,324.32,23.00,8435.00,0.00,24.33,284.41,3.85,10.32,1.14,2.37,40.33,-0.28,
08/26/21 09:04:41,45.1565017,29.6590017,0.18,8.60,332.83,23.00,9141.00,0.00,24.33,284.42,3.85,10.32,1.14,2.40,40.33,-0.28,
08/26/21 09:04:42,45.1565017,29.6590017,0.18,8.60,260.90,23.00,9592.00,0.00,24.33,284.42,3.85,10.32,1.14,2.46,40.34,-0.27,
